xflr5 v6.12

Wing name :        Q1
Wing polar name :  T1-111.8 m/s-VLM2
Freestream speed : 111.760 m/s
X_CG: 1.03m
Z_CG: 0.03507m

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.500     0.000   0.992214   0.020801   0.006613   0.027414   0.000000   0.000000   0.068575  -0.000000   0.000000  111.7600     0.9447
    8.000     0.000   1.037775   0.022755   0.007291   0.030045   0.000000   0.000000   0.075264   0.000000   0.000000  111.7600     0.9408
    8.500     0.000   1.083162   0.024788   0.008236   0.033024   0.000000   0.000000   0.081927   0.000000   0.000000  111.7600     0.9373
    9.000     0.000   1.128368   0.026900   0.010014   0.036914   0.000000   0.000000   0.088546   0.000000   0.000000  111.7600     0.9342
    9.500     0.000   1.173384   0.029088   0.012876   0.041964   0.000000   0.000000   0.095120   0.000000  -0.000000  111.7600     0.9314
   10.000     0.000   1.218204   0.031351   0.016200   0.047551   0.000000   0.000000   0.101680  -0.000000   0.000000  111.7600     0.9289
   10.500     0.000   1.262820   0.033688   0.020105   0.053793   0.000000   0.000000   0.108218  -0.000000   0.000000  111.7600     0.9266
   11.000     0.000   1.307225   0.036098   0.024036   0.060134   0.000000   0.000000   0.114753  -0.000000  -0.000000  111.7600     0.9246
   11.500     0.000   1.351410   0.038577   0.027765   0.066341   0.000000   0.000000   0.121295  -0.000000  -0.000000  111.7600     0.9228
   12.000     0.000   1.395370   0.041125   0.031866   0.072991   0.000000   0.000000   0.127808  -0.000000   0.000000  111.7600     0.9212


