xflr5 v6.12

Wing name :        Q1flaps10
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -19.000     0.000  -0.804768   0.018235   0.035891   0.054126   0.000000  -0.000000   0.354780   0.000000   0.000000   93.8784     0.5662
  -18.750     0.000  -0.808133   0.018166   0.032636   0.050803   0.000000  -0.000000   0.355481  -0.000000   0.000000   93.8784     0.5662
  -18.500     0.000  -0.806582   0.018120   0.030186   0.048306   0.000000  -0.000000   0.354101  -0.000000   0.000000   93.8784     0.5657
  -18.250     0.000  -0.801015   0.018015   0.028312   0.046327   0.000000  -0.000000   0.351529   0.000000  -0.000000   93.8784     0.5657
  -18.000     0.000  -0.796059   0.017876   0.026656   0.044532   0.000000  -0.000000   0.349592  -0.000000  -0.000000   93.8784     0.5662
  -17.750     0.000  -0.790749   0.017689   0.025307   0.042996   0.000000  -0.000000   0.348037  -0.000000   0.000000   93.8784     0.5672
  -17.500     0.000  -0.784451   0.017464   0.024087   0.041551   0.000000  -0.000000   0.345863  -0.000000  -0.000000   93.8784     0.5680
  -17.250     0.000  -0.777993   0.017215   0.022975   0.040190   0.000000  -0.000000   0.343722  -0.000000  -0.000000   93.8784     0.5690
  -17.000     0.000  -0.771278   0.016930   0.021941   0.038871   0.000000  -0.000000   0.341489  -0.000000  -0.000000   93.8784     0.5701
  -16.750     0.000  -0.763370   0.016626   0.020939   0.037565   0.000000  -0.000000   0.338332  -0.000000  -0.000000   93.8784     0.5708
  -16.500     0.000  -0.756246   0.016316   0.020014   0.036331   0.000000  -0.000000   0.335933  -0.000000  -0.000000   93.8784     0.5719
  -16.250     0.000  -0.748253   0.015985   0.019162   0.035147   0.000000  -0.000000   0.332994  -0.000000  -0.000000   93.8784     0.5728
  -16.000     0.000  -0.739861   0.015647   0.018350   0.033997   0.000000  -0.000000   0.329811  -0.000000  -0.000000   93.8784     0.5737
  -15.750     0.000  -0.730660   0.015300   0.017531   0.032830   0.000000  -0.000000   0.325834  -0.000000  -0.000000   93.8784     0.5741
  -15.500     0.000  -0.721404   0.014950   0.016830   0.031780   0.000000  -0.000000   0.322243  -0.000000  -0.000000   93.8784     0.5748
  -15.250     0.000  -0.711297   0.014586   0.016169   0.030755   0.000000  -0.000000   0.318040  -0.000000  -0.000000   93.8784     0.5752
  -15.000     0.000  -0.700863   0.014222   0.015534   0.029757   0.000000  -0.000000   0.313610  -0.000000  -0.000000   93.8784     0.5756
  -14.750     0.000  -0.690809   0.013854   0.014790   0.028644   0.000000  -0.000000   0.308893  -0.000000  -0.000000   93.8784     0.5756
  -14.500     0.000  -0.679515   0.013462   0.014208   0.027670   0.000000  -0.000000   0.303923  -0.000000  -0.000000   93.8784     0.5757
  -14.250     0.000  -0.667730   0.013046   0.013658   0.026704   0.000000  -0.000000   0.298584  -0.000000  -0.000000   93.8784     0.5755
  -14.000     0.000  -0.655839   0.012633   0.013134   0.025767   0.000000  -0.000000   0.293158  -0.000000  -0.000000   93.8784     0.5753
  -13.750     0.000  -0.643156   0.012210   0.012648   0.024858   0.000000  -0.000000   0.287237  -0.000000  -0.000000   93.8784     0.5746
  -13.500     0.000  -0.629479   0.011786   0.012207   0.023993   0.000000  -0.000000   0.280732  -0.000000  -0.000000   93.8784     0.5733
  -13.250     0.000  -0.615093   0.011373   0.011814   0.023187   0.000000  -0.000000   0.273803  -0.000000  -0.000000   93.8784     0.5719
  -13.000     0.000  -0.600191   0.010966   0.011450   0.022416   0.000000  -0.000000   0.266526  -0.000000  -0.000000   93.8784     0.5700
  -12.750     0.000  -0.585352   0.010578   0.011093   0.021671   0.000000  -0.000000   0.259320  -0.000000  -0.000000   93.8784     0.5687
  -12.500     0.000  -0.570422   0.010203   0.010745   0.020948   0.000000  -0.000000   0.252046  -0.000000  -0.000000   93.8784     0.5671
  -12.250     0.000  -0.554123   0.009859   0.010438   0.020297   0.000000  -0.000000   0.243830  -0.000000  -0.000000   93.8784     0.5637
  -12.000     0.000  -0.537419   0.009533   0.010144   0.019677   0.000000  -0.000000   0.235313  -0.000000  -0.000000   93.8784     0.5607
  -11.750     0.000  -0.519350   0.009174   0.009885   0.019059   0.000000  -0.000000   0.225717  -0.000000  -0.000000   93.8784     0.5549
  -11.500     0.000  -0.501146   0.008834   0.009637   0.018471   0.000000  -0.000000   0.216015  -0.000000  -0.000000   93.8784     0.5494
  -11.250     0.000  -0.482850   0.008508   0.009400   0.017909   0.000000  -0.000000   0.206242  -0.000000  -0.000000   93.8784     0.5436
  -11.000     0.000  -0.464365   0.008198   0.009162   0.017359   0.000000  -0.000000   0.196317  -0.000000  -0.000000   93.8784     0.5358
  -10.750     0.000  -0.444820   0.007863   0.008957   0.016820   0.000000  -0.000000   0.185475  -0.000000  -0.000000   93.8784     0.5287
  -10.500     0.000  -0.424929   0.007540   0.008765   0.016305   0.000000  -0.000000   0.174324  -0.000000  -0.000000   93.8784     0.5157
  -10.250     0.000  -0.404344   0.007217   0.008579   0.015797   0.000000  -0.000000   0.162504  -0.000000  -0.000000   93.8784     0.5049
  -10.000     0.000  -0.382771   0.006892   0.008426   0.015318   0.000000  -0.000000   0.149774  -0.000000  -0.000000   93.8784     0.4853
   -9.750     0.000  -0.360422   0.006568   0.008305   0.014873   0.000000  -0.000000   0.136337  -0.000000  -0.000000   93.8784     0.4653
   -9.500     0.000  -0.337756   0.006258   0.008197   0.014454   0.000000  -0.000000   0.122588  -0.000000  -0.000000   93.8784     0.4413
   -9.250     0.000  -0.314907   0.005965   0.008095   0.014060   0.000000  -0.000000   0.108664  -0.000000  -0.000000   93.8784     0.3998
   -9.000     0.000  -0.291919   0.005691   0.007997   0.013688   0.000000  -0.000000   0.094592  -0.000000  -0.000000   93.8784     0.3826
   -8.750     0.000  -0.268793   0.005440   0.007900   0.013340   0.000000  -0.000000   0.080390  -0.000000  -0.000000   93.8784     0.1638
   -8.500     0.000  -0.245547   0.005209   0.007806   0.013015   0.000000  -0.000000   0.066063  -0.000000  -0.000000   93.8784     0.2016
   -8.250     0.000  -0.222201   0.005002   0.007712   0.012714   0.000000  -0.000000   0.051636  -0.000000  -0.000000   93.8784     0.6827
   -8.000     0.000  -0.198712   0.004816   0.007620   0.012437   0.000000  -0.000000   0.037065  -0.000000  -0.000000   93.8784     0.6815
   -7.750     0.000  -0.175163   0.004655   0.007529   0.012184   0.000000  -0.000000   0.022429  -0.000000  -0.000000   93.8784     0.0468
   -7.500     0.000  -0.151523   0.004518   0.007434   0.011952   0.000000  -0.000000   0.007711   0.000000   0.000000   93.8784    -0.1666
   -7.250     0.000  -0.127850   0.004405   0.007340   0.011745   0.000000  -0.000000  -0.007052  -0.000000   0.000000   93.8784    -0.1590
   -7.000     0.000  -0.104065   0.004318   0.007244   0.011562   0.000000  -0.000000  -0.021922   0.000000   0.000000   93.8784    -0.4610
   -6.750     0.000  -0.080265   0.004255   0.007147   0.011402   0.000000  -0.000000  -0.036820   0.000000   0.000000   93.8784    -0.8327
   -6.500     0.000  -0.056422   0.004217   0.007050   0.011267   0.000000  -0.000000  -0.051769   0.000000   0.000000   93.8784    -1.4942
   -6.250     0.000  -0.032528   0.004203   0.006953   0.011156   0.000000  -0.000000  -0.066785   0.000000   0.000000   93.8784    -3.5649
   -6.000     0.000  -0.008587   0.004212   0.006855   0.011067   0.000000  -0.000000  -0.081857   0.000000   0.000000   93.8784   -15.1100
   -5.750     0.000   0.015431   0.004245   0.006756   0.011001   0.000000  -0.000000  -0.097013   0.000000   0.000000   93.8784     8.1771
