xflr5 v6.12

Wing name :        Q1flaps30
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.250     0.000   0.210091   0.012186   0.021921   0.034107   0.000000  -0.000000  -0.059279   0.000000   0.000000   93.8784     1.4311
   -5.000     0.000   0.232785   0.012380   0.021926   0.034306   0.000000  -0.000000  -0.055911   0.000000   0.000000   93.8784     1.3955
   -4.750     0.000   0.255378   0.012594   0.021929   0.034523   0.000000  -0.000000  -0.052536   0.000000   0.000000   93.8784     1.3399
   -4.500     0.000   0.277965   0.012830   0.021930   0.034760   0.000000  -0.000000  -0.049172   0.000000   0.000000   93.8784     1.2764
   -4.250     0.000   0.300579   0.013084   0.021935   0.035019   0.000000  -0.000000  -0.045814   0.000000   0.000000   93.8784     1.2222
   -4.000     0.000   0.323278   0.013359   0.021943   0.035302   0.000000  -0.000000  -0.042458   0.000000   0.000000   93.8784     1.1914
   -3.750     0.000   0.346038   0.013656   0.021951   0.035606   0.000000  -0.000000  -0.039109   0.000000   0.000000   93.8784     1.1574
   -3.500     0.000   0.368751   0.013978   0.021949   0.035926   0.000000  -0.000000  -0.035759   0.000000   0.000000   93.8784     1.1531
   -3.250     0.000   0.391412   0.014326   0.021932   0.036257   0.000000  -0.000000  -0.032408   0.000000   0.000000   93.8784     1.1474
   -3.000     0.000   0.414128   0.014695   0.021916   0.036611   0.000000  -0.000000  -0.029058   0.000000   0.000000   93.8784     1.1290
   -2.750     0.000   0.436937   0.015085   0.021905   0.036990   0.000000  -0.000000  -0.025710   0.000000   0.000000   93.8784     1.1126
   -2.500     0.000   0.459712   0.015497   0.021888   0.037385   0.000000  -0.000000  -0.022352   0.000000   0.000000   93.8784     1.0967
   -2.250     0.000   0.482396   0.015935   0.021859   0.037794   0.000000  -0.000000  -0.018983   0.000000   0.000000   93.8784     1.0822
   -2.000     0.000   0.505031   0.016398   0.021817   0.038215   0.000000  -0.000000  -0.015597   0.000000   0.000000   93.8784     1.0699
   -1.750     0.000   0.527711   0.016883   0.021773   0.038656   0.000000  -0.000000  -0.012206   0.000000   0.000000   93.8784     1.0589
   -1.500     0.000   0.550558   0.017390   0.021736   0.039126   0.000000  -0.000000  -0.008822   0.000000   0.000000   93.8784     1.0490
   -1.250     0.000   0.573646   0.017917   0.021717   0.039634   0.000000  -0.000000  -0.005455   0.000000   0.000000   93.8784     1.0397
   -1.000     0.000   0.596887   0.018468   0.021708   0.040176   0.000000  -0.000000  -0.002101   0.000000   0.000000   93.8784     1.0312
   -0.750     0.000   0.620227   0.019041   0.021714   0.040755   0.000000  -0.000000   0.001232   0.000000   0.000000   93.8784     1.0231
   -0.500     0.000   0.643967   0.019635   0.021755   0.041389   0.000000  -0.000000   0.004508   0.000000   0.000000   93.8784     1.0161
   -0.250     0.000   0.667850   0.020253   0.021809   0.042062   0.000000  -0.000000   0.007756   0.000000   0.000000   93.8784     1.0095
    0.000     0.000   0.691799   0.020896   0.021874   0.042770   0.000000  -0.000000   0.010989   0.000000   0.000000   93.8784     1.0034
    0.250     0.000   0.715802   0.021563   0.021943   0.043507   0.000000  -0.000000   0.014213   0.000000   0.000000   93.8784     0.9978
    0.500     0.000   0.739759   0.022255   0.022016   0.044272   0.000000  -0.000000   0.017434   0.000000   0.000000   93.8784     0.9924
    0.750     0.000   0.763524   0.022958   0.022101   0.045058   0.000000  -0.000000   0.020641   0.000000   0.000000   93.8784     0.9874
    1.000     0.000   0.787045   0.023666   0.022200   0.045866   0.000000  -0.000000   0.023838   0.000000   0.000000   93.8784     0.9826
    1.250     0.000   0.810068   0.024390   0.022327   0.046716   0.000000  -0.000000   0.027022   0.000000   0.000000   93.8784     0.9781
    1.500     0.000   0.833149   0.025140   0.022452   0.047592   0.000000  -0.000000   0.030199   0.000000   0.000000   93.8784     0.9739
    1.750     0.000   0.856466   0.025925   0.022565   0.048490   0.000000  -0.000000   0.033382   0.000000   0.000000   93.8784     0.9699
    2.000     0.000   0.880030   0.026749   0.022663   0.049412   0.000000  -0.000000   0.036570   0.000000   0.000000   93.8784     0.9661
    2.250     0.000   0.903311   0.027599   0.022774   0.050372   0.000000  -0.000000   0.039773   0.000000   0.000000   93.8784     0.9624
    2.500     0.000   0.926043   0.028460   0.022909   0.051368   0.000000  -0.000000   0.042982   0.000000   0.000000   93.8784     0.9589
