xflr5 v6.12

Wing name :        horizontal tail
Wing polar name :  T1-250.0 mph-LLT
Freestream speed : 250.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.000     0.000  -0.723305   0.030463   0.007612   0.038075   0.000000   0.000000  -0.098109  -0.000000  -0.000000  111.7600     0.4581
   -8.750     0.000  -0.703215   0.028796   0.007488   0.036284   0.000000   0.000000  -0.095447  -0.000000  -0.000000  111.7600     0.4582
   -8.500     0.000  -0.683177   0.027179   0.007367   0.034546   0.000000   0.000000  -0.092768  -0.000000  -0.000000  111.7600     0.4583
   -8.250     0.000  -0.663176   0.025612   0.007250   0.032862   0.000000   0.000000  -0.090069  -0.000000  -0.000000  111.7600     0.4584
   -8.000     0.000  -0.643205   0.024094   0.007135   0.031230   0.000000  -0.000000  -0.087356   0.000000   0.000000  111.7600     0.4585
   -7.750     0.000  -0.623206   0.022620   0.007023   0.029644   0.000000   0.000000  -0.084643  -0.000000  -0.000000  111.7600     0.4586
   -7.500     0.000  -0.603290   0.021198   0.006915   0.028113   0.000000   0.000000  -0.081906  -0.000000  -0.000000  111.7600     0.4588
   -7.250     0.000  -0.583420   0.019824   0.006809   0.026633   0.000000   0.000000  -0.079154  -0.000000  -0.000000  111.7600     0.4590
   -7.000     0.000  -0.563510   0.018494   0.006705   0.025199   0.000000   0.000000  -0.076407   0.000000   0.000000  111.7600     0.4592
   -6.750     0.000  -0.543566   0.017209   0.006605   0.023814   0.000000   0.000000  -0.073661  -0.000000  -0.000000  111.7600     0.4593
   -6.500     0.000  -0.523602   0.015968   0.006507   0.022475   0.000000   0.000000  -0.070918   0.000000  -0.000000  111.7600     0.4595
   -6.250     0.000  -0.503664   0.014775   0.006413   0.021188   0.000000   0.000000  -0.068167   0.000000   0.000000  111.7600     0.4597
   -6.000     0.000  -0.483759   0.013630   0.006320   0.019950   0.000000   0.000000  -0.065407  -0.000000  -0.000000  111.7600     0.4599
   -5.750     0.000  -0.463846   0.012530   0.006229   0.018760   0.000000   0.000000  -0.062648  -0.000000  -0.000000  111.7600     0.4601
   -5.500     0.000  -0.443917   0.011476   0.006140   0.017616   0.000000   0.000000  -0.059891  -0.000000  -0.000000  111.7600     0.4603
   -5.250     0.000  -0.423980   0.010468   0.006051   0.016520   0.000000   0.000000  -0.057134  -0.000000  -0.000000  111.7600     0.4605
   -5.000     0.000  -0.404029   0.009506   0.005964   0.015470   0.000000   0.000000  -0.054379   0.000000   0.000000  111.7600     0.4607
