xflr5 v6.12

Wing name :        Q1noflaps
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.750     0.000  -0.409816   0.003671   0.008119   0.011790   0.000000  -0.000000  -0.128908   0.000000  -0.000000   93.8784     0.5921
   -7.500     0.000  -0.387022   0.003274   0.008016   0.011290   0.000000  -0.000000  -0.125341   0.000000  -0.000000   93.8784     0.5796
   -7.250     0.000  -0.364144   0.002898   0.007912   0.010810   0.000000   0.000000  -0.121766   0.000000  -0.000000   93.8784     0.5652
   -7.000     0.000  -0.341166   0.002543   0.007808   0.010352   0.000000   0.000000  -0.118193   0.000000  -0.000000   93.8784     0.5488
   -6.750     0.000  -0.318063   0.002210   0.007707   0.009918   0.000000   0.000000  -0.114624   0.000000  -0.000000   93.8784     0.5297
   -6.500     0.000  -0.294876   0.001899   0.007606   0.009505   0.000000   0.000000  -0.111057   0.000000  -0.000000   93.8784     0.5072
   -6.250     0.000  -0.271614   0.001611   0.007505   0.009116   0.000000   0.000000  -0.107489  -0.000000  -0.000000   93.8784     0.4812
   -6.000     0.000  -0.248205   0.001345   0.007407   0.008752   0.000000   0.000000  -0.103933   0.000000  -0.000000   93.8784     0.4487
   -5.750     0.000  -0.224751   0.001102   0.007309   0.008412   0.000000   0.000000  -0.100375   0.000000  -0.000000   93.8784     0.4110
   -5.500     0.000  -0.201133   0.000883   0.007214   0.008096   0.000000   0.000000  -0.096828   0.000000  -0.000000   93.8784     0.3592
   -5.250     0.000  -0.177480   0.000687   0.007119   0.007806   0.000000   0.000000  -0.093281   0.000000  -0.000000   93.8784     0.2979
   -5.000     0.000  -0.153758   0.000515   0.007020   0.007536   0.000000   0.000000  -0.089735   0.000000  -0.000000   93.8784     0.1738
   -4.750     0.000  -0.130015   0.000368   0.006921   0.007289   0.000000  -0.000000  -0.086189   0.000000  -0.000000   93.8784     0.0388
   -4.500     0.000  -0.106323   0.000246   0.006815   0.007062   0.000000   0.000000  -0.082632   0.000000  -0.000000   93.8784    -0.1502
   -4.250     0.000  -0.082671   0.000149   0.006705   0.006854   0.000000   0.000000  -0.079069   0.000000  -0.000000   93.8784    -0.3853
   -4.000     0.000  -0.059055   0.000076   0.006589   0.006665   0.000000  -0.000000  -0.075511   0.000000  -0.000000   93.8784    -1.3856
   -3.750     0.000  -0.035507   0.000027   0.006461   0.006489   0.000000  -0.000000  -0.071965  -0.000000  -0.000000   93.8784    -3.8114
   -3.500     0.000  -0.011945   0.000003   0.006334   0.006337   0.000000  -0.000000  -0.068419  -0.000000  -0.000000   93.8784    -5.6835
   -3.250     0.000   0.011829   0.000003   0.006213   0.006216   0.000000  -0.000000  -0.064900   0.000000   0.000000   93.8784    -2.5495
   -3.000     0.000   0.035602   0.000028   0.006092   0.006120   0.000000  -0.000000  -0.061378   0.000000  -0.000000   93.8784     1.2129
   -2.750     0.000   0.059394   0.000077   0.005965   0.006043   0.000000  -0.000000  -0.057860   0.000000  -0.000000   93.8784     1.9079
   -2.500     0.000   0.083195   0.000152   0.005839   0.005990   0.000000  -0.000000  -0.054341   0.000000  -0.000000   93.8784     1.8034
   -2.250     0.000   0.107020   0.000251   0.005707   0.005958   0.000000  -0.000000  -0.050831   0.000000  -0.000000   93.8784     1.7119
   -2.000     0.000   0.130831   0.000374   0.005571   0.005945   0.000000   0.000000  -0.047322   0.000000  -0.000000   93.8784     1.5546
   -1.750     0.000   0.154552   0.000522   0.005424   0.005946   0.000000   0.000000  -0.043809  -0.000000  -0.000000   93.8784     1.4218
   -1.500     0.000   0.178097   0.000693   0.005259   0.005952   0.000000  -0.000000  -0.040298   0.000000  -0.000000   93.8784     1.3466
   -1.250     0.000   0.201532   0.000888   0.005082   0.005969   0.000000  -0.000000  -0.036782  -0.000000  -0.000000   93.8784     1.2798
   -1.000     0.000   0.224623   0.001103   0.004868   0.005971   0.000000  -0.000000  -0.033277   0.000000  -0.000000   93.8784     1.2355
   -0.750     0.000   0.247753   0.001341   0.004655   0.005997   0.000000  -0.000000  -0.029791  -0.000000  -0.000000   93.8784     1.1974
   -0.500     0.000   0.271448   0.001609   0.004483   0.006092   0.000000   0.000000  -0.026351  -0.000000  -0.000000   93.8784     1.1656
